Platform,Games,Player Reviews,Critic Reviews
Advanced Programmable Video System,55,3,1
3DO,254,16,1033
Acorn 32-bit,160,0,41
Adventure Vision,4,0,0
AirConsole,4,0,0
Alice 32/90,8,0,0
Altair 680,1,0,0
Altair 8800,98,0,0
Amazon Alexa,9,0,0
Amiga,3910,234,17008
Amiga CD32,171,4,1129
Amstrad CPC,2237,35,2116
Amstrad PCW,126,0,20
Android,10552,23,1075
Antstream,656,0,0
APF MP1000/Imagination Machine,13,0,12
Apple I,10,0,0
Apple II,2874,87,755
Apple IIgs,228,2,37
Arcade,3078,64,1772
Arcadia 2001,33,0,39
Arduboy,28,0,0
Astral 2000,1,0,0
Atari 2600,598,154,2408
Atari 5200,86,11,170
Atari 7800,70,5,125
Atari 8-bit,2068,27,1026
Atari ST,2497,46,6063
Atom,31,2,0
bada,71,0,0
Bally Astrocade,24,0,30
BBC Micro,557,0,127
BeOS,35,0,0
BlackBerry,410,0,10
Blacknut,480,0,0
Blu-ray Disc Player,9,0,6
BREW,355,1,48
Browser,4644,33,458
Bubble,1,0,0
Camputers Lynx,17,0,1
Casio Loopy,2,0,0
Casio Programmable Calculator,1,0,0
Casio PV-1000,12,0,0
CD-i,211,6,382
CDTV,49,0,60
Champion 2711,5,0,0
Channel F,29,1,46
ClickStart,14,0,0
Coleco Adam,38,1,4
ColecoVision,154,20,323
Colour Genie,6,0,0
Commodore 128,29,0,15
"Commodore 16, Plus/4",499,2,390
Commodore 64,5570,281,9783
Commodore PET/CBM,708,1,87
Compal 80,1,0,0
Compucolor I,2,0,0
Compucolor II,9,0,0
Compucorp Programmable Calculator,7,0,0
COSMAC,69,0,0
CP/M,53,0,0
CreatiVision,2,0,0
Cybervision,11,0,0
Danger OS,1,0,0
Dedicated console,534,1,79
Dedicated handheld,677,1,50
Didj,1,0,0
digiBlast,10,0,0
DoJa,234,0,4
DOS,8151,3722,19198
Dragon 32/64,334,28,62
Dreamcast,551,147,4121
DVD Player,243,12,13
ECD Micromind,2,0,0
Electron,330,0,15
Enterprise,28,0,5
Epoch Cassette Vision,2,0,0
Epoch Game Pocket Computer,3,0,0
Epoch Super Cassette Vision,11,0,1
Evercade,35,0,39
Exelvision,9,0,0
ExEn,48,0,1
Exidy Sorcerer,52,0,1
Fire OS,113,0,0
FM Towns,511,0,24
FM-7,279,0,2
Freebox,24,0,0
G-cluster,3,0,0
Galaksija,17,0,0
Game Boy,721,121,3401
Game Boy Advance,1167,221,7562
Game Boy Color,622,54,2829
Game Gear,363,13,2005
Game Wave,14,0,0
Game.Com,20,5,45
GameCube,621,314,8684
GameStick,25,0,0
Genesis,1016,385,8481
GIMINI,8,0,0
Gizmondo,14,0,31
Gloud,101,0,0
Glulx,8,0,0
GNEX,4,0,0
GP2X,32,0,1
GP2X Wiz,17,0,0
GP32,18,0,13
GVM,4,0,0
HD DVD Player,1,0,0
Heath/Zenith H8/H89,23,0,0
Heathkit H11,5,0,0
Hitachi S1,12,0,0
HP 9800,2,0,0
HP Programmable Calculator,66,0,0
Hugo,1,0,0
HyperScan,5,0,0
IBM 5100,5,0,0
Ideal-Computer,3,0,0
Intel 8008,6,0,0
Intel 8080,78,0,3
Intellivision,128,15,317
Interact Model One,1,0,0
Interton Video 2000,5,0,0
iPad,10899,3,2043
iPhone,11496,16,4766
iPod Classic,30,0,29
J2ME,1192,3,705
Jaguar,97,33,781
Jolt,2,0,0
Jupiter Ace,40,0,0
KIM-1,32,0,0
Kindle Classic,19,0,0
Laser 200,6,0,0
LaserActive,30,0,16
LeapFrog Explorer,6,0,1
Leapster,48,0,3
LeapTV,1,0,0
Linux,10755,13,328
Luna,130,0,0
Lynx,93,11,667
Macintosh,23080,53,4648
Maemo,10,0,0
Mainframe,622,7,3
Matsushita/Panasonic JR,5,0,0
Mattel Aquarius,20,0,0
MeeGo,23,0,0
Memotech MTX,28,0,0
Meritum,12,0,0
Microbee,14,0,0
Microtan 65,1,0,0
Microvision,12,1,42
Mophun,15,0,0
MOS Technology 6502,13,0,0
Motorola 6800,37,0,0
Motorola 68k,2,0,0
MRE,10,0,0
MSX,1300,17,223
N-Gage,64,3,532
N-Gage (service),23,0,60
Nascom,15,0,0
Neo Geo,125,6,608
Neo Geo CD,99,1,126
Neo Geo Pocket,10,0,18
Neo Geo Pocket Color,74,4,170
Neo Geo X,7,0,2
NES,1426,546,6623
New Nintendo 3DS,129,0,38
NewBrain,3,0,0
Newton,7,0,0
Nintendo 3DS,1888,11,4365
Nintendo 64,377,211,4691
Nintendo DS,2301,143,13398
Nintendo DSi,592,0,732
Nintendo Switch,12066,22,15413
North Star,40,0,0
Noval 760,2,0,0
Nuon,7,0,8
Oculus Go,261,0,1
Oculus Quest,256,0,185
Odyssey,22,0,0
Odyssey 2,107,16,128
Ohio Scientific,92,0,4
OnLive,136,0,1
OOParts,51,0,0
Orao,3,0,0
Oric,120,0,24
OS/2,55,0,3
Ouya,241,0,54
Palm OS,162,0,27
Pandora,0,0,0
PC Booter,262,110,126
PC-6001,71,0,0
PC-8000,44,0,0
PC-88,557,2,8
PC-98,1400,8,21
PC-FX,62,0,6
Pebble,1,0,0
Philips VG 5000,21,0,1
Photo CD,1,0,0
Pippin,17,0,0
Playdate,25,0,0
Playdia,1,0,0
PlayStation,2789,555,13292
PlayStation 2,3423,823,25715
PlayStation 3,15112,117,19666
PlayStation 4,22437,44,16821
PlayStation 5,2197,7,4792
PlayStation Now,127,0,1
Plex Arcade,27,0,0
Pokitto,2,0,0
Pokémon Mini,10,0,0
Poly-88,14,0,0
PS Vita,4398,4,2347
PSP,2450,44,8849
RCA Studio II,14,0,0
Research Machines 380Z,3,0,0
Roku,17,0,0
SAM Coupé,28,0,18
SC/MP,5,0,0
SD-200/270/290,2,0,0
SEGA 32X,40,21,575
SEGA CD,205,82,1678
SEGA Master System,357,81,3082
SEGA Pico,30,1,1
SEGA Saturn,727,71,2884
SG-1000,77,1,100
Sharp MZ-80B/2000/2500,46,0,0
Sharp MZ-80K/700/800/1500,40,0,0
Sharp X1,252,0,6
Sharp X68000,476,0,25
Sharp Zaurus,11,0,0
Signetics 2650,2,0,0
Sinclair QL,68,0,16
SK-VM,4,0,0
SMC-777,6,0,0
SNES,1215,421,7601
Socrates,0,0,0
Sol-20,170,1,0
Sord M5,18,0,0
Spectravideo,30,1,0
SRI-500/1000,1,0,0
Stadia,347,0,56
Super A'can,5,0,0
Super Vision 8000,7,0,0
SuperGrafx,7,0,25
Supervision,67,0,41
Sure Shot HD,8,0,4
SWTPC 6800,40,0,0
Symbian,175,0,24
TADS,10,0,0
Taito X-55,2,0,0
Tatung Einstein,36,0,0
Tektronix 4050,4,0,0
Tele-Spiel ES-2201,5,0,0
Telstar Arcade,4,0,0
Terminal,117,0,1
Thomson MO,82,0,3
Thomson TO,103,0,12
TI Programmable Calculator,129,0,0
TI-99/4A,181,19,32
Tiki 100,4,0,0
TIM,2,0,0
Timex Sinclair 2068,13,0,0
Tizen,33,0,0
Tomahawk F1,30,0,0
Tomy Tutor,13,0,0
Triton,3,0,0
TRS-80,1327,2,119
TRS-80 CoCo,1052,1,9
TRS-80 MC-10,6,0,0
TRS-80 Model 100,0,0,0
TurboGrafx CD,417,6,401
TurboGrafx-16,264,20,1189
tvOS,578,0,17
V.Flash,10,0,0
V.Smile,13,0,0
Vectrex,37,2,95
Versatile,2,0,0
VIC-20,920,73,193
VideoBrain,9,0,9
Videopac+ G7400,39,1,7
Virtual Boy,23,6,168
VIS,6,0,0
Wang 2200,49,0,0
watchOS,24,0,0
webOS,71,0,6
Wii,2663,129,15234
Wii U,1588,8,2966
Windows,76085,5564,126266
Windows 3.x,1860,170,2018
Windows Apps,3197,0,202
Windows Mobile,265,0,13
Windows Phone,826,1,60
WIPI,9,0,0
WonderSwan,66,0,51
WonderSwan Color,45,0,53
XaviXPORT,4,0,0
Xbox,1015,291,13810
Xbox 360,9284,248,32707
Xbox Cloud Gaming,326,0,1
Xbox One,16293,5,7727
Xbox Series,2974,0,2205
Xerox Alto,10,0,0
Z-machine,35,2,4
Zeebo,58,1,11
Zilog Z80,46,0,0
Zilog Z8000,1,0,0
Zodiac,14,0,23
Zune,5,0,0
ZX Spectrum,3488,62,5396
ZX Spectrum Next,40,0,0
ZX80,13,0,0
ZX81,288,10,23
