Título,Desarrollador,Distribuidor,Fecha_Lanzamiento,Ventas_estimadas,Genre
Minecraft,Mojang Studios,Mojang Studios,18 de noviembre de 2011n 2​,238,Sandbox
Grand Theft Auto V,Rockstar North,Rockstar Games,17 de septiembre de 2013,180,Action
Tetris (EA),EA Mobile,Electronic Arts,12 de septiembre de 2006,100,Puzzle
Wii Sports,Nintendo EAD,Nintendo,19 de noviembre de 2006,82.9,Sports
PUBG: Battlegrounds,PUBG Studios,Krafton,20 de diciembre de 2017,75,Action
Mario Kart 8 / Deluxe,Nintendo EAD,Nintendo,29 de mayo de 2014,60,Racing
Super Mario Bros.,Nintendo,Nintendo,13 de septiembre de 1985,58,Platform
Red Dead Redemption 2,Rockstar Studios,Rockstar Games,26 de octubre de 2018,53,Action
The Witcher 3,CD Projekt Red,CD Projekt,19 de mayo de 2015,50,Adventure
Pokémon Rojo / Verde / Azul / Amarillo,Game Freak,Nintendo,27 de febrero de 1996,47.52,Role-Playing
Terraria,Re-Logic,Re-Logic / 505 Games,16 de mayo de 2011,44.5,Adventure
Wii Fit / Plus,Nintendo EAD,Nintendo,1 de diciembre de 2007,43.82,Sports
Tetris (Nintendo),Nintendo R&D1,Nintendo,14 de junio de 1989,43,Puzzle
Animal Crossing: New Horizons,Nintendo EPD,Nintendo,20 de marzo de 2020,41.59,Simulation
Pac-Man,Namco,Namco,julio de 1980,41.49,Arcade
Mario Kart Wii,Nintendo EAD,Nintendo,10 de abril de 2008,37.8,Racing
Wii Sports Resort,Nintendo EAD,Nintendo,25 de junio de 2009,33.14,Sports
New Super Mario Bros.,Nintendo EAD,Nintendo,15 de mayo de 2006,30.8,Platform
New Super Mario Bros. Wii,Nintendo EAD,Nintendo,11 de noviembre de 2009,30.32,Platform
Call of Duty: Modern Warfare,Infinity Ward,Activision,25 de octubre de 2019,30,Shooter
Human: Fall Flat,No Brakes Games,Curve Digital,22 de julio de 2016,30,Puzzle
Diablo III,Blizzard Entertainment,Blizzard Entertainment,16 de mayo de 2012,30,Role-Playing
The Elder Scrolls V: Skyrim,Bethesda Game Studios,Bethesda Softworks,11 de noviembre de 2011,30,Role-Playing
Pokémon Oro / Plata / Cristal,Game Freak,Nintendo,21 de noviembre de 1999,29.49,Role-Playing
The Legend of Zelda: Breath of the Wild,Nintendo EPD,Nintendo,3 de marzo de 2017,29,Adventure
Super Smash Bros. Ultimate,Bandai Namco Studios / Sora Ltd.,Nintendo,7 de diciembre de 2018,30.44,Fighting
Duck Hunt,Nintendo R&D1,Nintendo,21 de abril de 1984,28.3,Shooter
Wii Play,Nintendo EAD,Nintendo,2 de diciembre de 2006,28.02,Misc
The Walking Dead,Telltale Games,Telltale Games,24 de abril de 2012,28,Adventure
Grand Theft Auto: San Andreas,Rockstar North,Rockstar Games,26 de octubre de 2004,27.5,Action
Super Mario World,Nintendo EAD,Nintendo,21 de noviembre de 1990,26.6,Platform
Call of Duty: Modern Warfare 3,Infinity Ward / Sledgehammer Games,Activision,8 de noviembre de 2011,26.5,Shooter
Call of Duty: Black Ops,Treyarch,Activision,9 de noviembre de 2010,26.2,Shooter
Borderlands 2,Gearbox Software,2K Games,18 de septiembre de 2012,26,Role-Playing
Pokémon Sol / Luna / Ultrasol / Ultraluna,Game Freak,Nintendo / The Pokémon Company,18 de noviembre de 2016,25.37,Role-Playing
Grand Theft Auto IV,Rockstar North,Rockstar Games,29 de abril de 2008,25,Action
Pokémon Diamante / Perla / Platino,Game Freak,Nintendo / The Pokémon Company,28 de septiembre de 2006,24.73,Role-Playing
Pokémon Espada y Escudo,Game Freak,Nintendo / The Pokémon Company,15 de septiembre de 2019,25.68,Role-Playing
Super Mario Bros. 3,Nintendo EAD,Nintendo,23 de octubre de 1988,24.4,Platform
Call of Duty: Black Ops II,Treyarch,Activision,12 de noviembre de 2012,24.2,Shooter
FIFA 18,EA Canada,Electronic Arts,29 de septiembre de 2017,24,Sports
Kinect Adventures!,Good Science Studio,Xbox Game Studios,4 de noviembre de 2010,24,Misc
Nintendogs,Nintendo EAD,Nintendo,21 de abril de 2005,23.96,Simulation
Super Mario Odyssey,Nintendo EPD,Nintendo,27 de octubre de 2017,23.93,Platform
Mario Kart DS,Nintendo EAD,Nintendo,14 de noviembre de 2005,23.6,Racing
Sonic the Hedgehog,Sonic Team,Sega,23 de junio de 1991,23.48,Platform
Red Dead Redemption,Rockstar San Diego,Rockstar Games,18 de mayo de 2010,23,Action
Super Mario 64 / DS,Nintendo EAD,Nintendo,23 de junio de 1996,22.96,Platform
Call of Duty: Modern Warfare 2,Infinity Ward,Activision,10 de noviembre de 2009,22.7,Shooter
Pokémon Rubí / Zafiro / Esmeralda,Game Freak,Nintendo / The Pokémon Company,21 de noviembre de 2001,22.54,Role-Playing
